"Pnum","age","gender","trait","sa1","sa2","rfapro2","rfapro3","rfapro4","rfapro5","rfapre1","rfapre2","rfapre3","rfapre5","central.sa1","rfbpro2","rfbpro3","rfbpro4","rfbpro5","rfbpre1","rfbpre2","rfbpre3","rfbpre5","central.sa2","RFQpro1r","RFQpro2","RFQpro3","RFQpro4r","RFQpro5","RFQpro6r","RFQpre1r","RFQpre2r","RFQpre3","RFQpre4r","RFQpre5r"
416,18,2,"anxious","student","friend",7,7,4,7,7,7,7,7,7,6,6,5,6,6,6,6,6,6,2,4,4,2,4,2,4,4,2,4,4
417,18,2,"caring","student","daughter",5,6,6,6,6,6,6,6,6,5,4,6,2,2,2,5,6,6,4,2,5,4,3,4,4,4,4,5,4
418,19,1,"sincere","a friend","a leader",6,6,7,4,5,6,7,6,7,7,6,5,7,5,7,6,7,5,2,4,5,2,4,2,3,3,3,4,4
419,18,1,"Mormon","a student","a young woman",7,7,7,7,5,5,7,6,6,7,7,7,7,4,4,7,7,7,1,4,4,4,4,4,1,2,4,3,4
420,21,1,"Amiable","a friend","a student",6,6,4,4,6,6,5,4,5,6,6,5,6,7,4,3,5,4,1,4,4,3,3,4,4,1,3,3,4
421,18,1,"organized","son","fraternity member",1,2,6,2,2,5,3,6,5,5,6,7,7,6,7,7,6,6,1,5,3,4,4,2,2,2,4,3,4
422,20,2,"happy ","a boyfriend","a friend",6,7,6,6,7,7,7,7,7,5,5,5,3,4,5,6,3,6,2,5,3,4,3,2,1,1,5,1,2
423,18,2,"sarcastic","a friend","a brother",6,5,4,3,6,6,7,4,5,5,7,5,6,6,7,6,1,4,1,3,4,2,4,4,3,1,5,3,3
424,19,1,"","a student ","a son",7,7,6,NA,7,7,7,1,7,2,1,3,NA,2,1,3,7,1,1,4,5,2,4,2,2,2,4,2,3
425,18,1,"determined","a performer","a son",7,7,6,7,7,7,7,4,7,4,6,5,5,5,5,5,6,4,3,5,4,5,4,3,2,2,4,2,3
426,20,1,"thoughtful","friend","son",3,4,5,5,3,4,5,4,3,3,5,4,6,5,4,5,3,4,4,4,4,3,4,4,3,3,3,2,3
427,19,1,"introverted","a friend","a son",5,5,6,5,5,6,6,5,6,5,6,5,5,6,7,5,6,3,1,4,4,1,4,2,1,2,5,1,2
428,18,2,"ambitious","a student","a daughter",6,6,7,7,6,6,7,6,7,2,4,3,3,3,4,3,4,4,1,5,4,1,4,2,1,1,5,1,4
429,18,1,"reliable","student","girlfriend ",5,6,7,6,5,6,6,6,7,6,7,6,6,6,6,7,7,6,1,4,3,4,5,1,4,3,3,4,2
430,18,2,"leader","member of community involvement","a friend",6,6,6,6,5,6,7,6,7,6,6,6,6,6,6,7,6,7,3,2,4,3,5,4,4,2,5,4,2
440,18,2,"dependable","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,1,5,1,5,5,4,5,5
441,18,2,"open-minded","a student in the quarter system","a boyfriend",6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,3,5,2,5,2,4,4,2,4,3,4
442,18,2,"fun","a friend","an actor",6,6,6,2,6,3,2,3,7,7,7,7,7,7,7,7,7,7,2,5,4,4,4,2,2,4,4,4,4
443,19,1,"weird","a friend","a student",6,6,5,6,6,6,6,6,6,4,6,5,6,6,7,6,5,5,1,5,5,5,5,2,4,1,5,1,4
444,19,1,"emotional","student","artist",7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,2,4,5,4,4,4,4,2,4,4,3
446,21,1,"","friend","sister",7,7,7,2,2,7,6,6,7,6,4,3,4,2,5,5,4,4,1,4,5,2,5,1,5,2,5,4,4
447,20,1,"perseverant","a leader ","a person",6,5,6,5,7,6,6,5,5,3,7,6,6,6,7,6,7,7,3,4,4,5,5,2,1,1,5,1,2
448,18,1,"cautious","friend","son",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,2,5,2,4,1,1,2,3
449,18,2,"determination","a student","a musician",7,6,7,3,2,5,6,5,6,3,2,3,4,2,2,2,2,6,1,5,4,1,5,1,1,2,5,2,4
450,18,2,"faithful","a child of God","a friend",6,6,6,6,5,5,6,6,7,5,7,6,6,3,5,5,7,7,2,4,4,3,4,3,4,2,4,4,2
451,18,2,"caring","a friend/girlfriend","a coach",6,4,6,4,5,1,6,5,7,7,6,6,4,5,6,7,6,6,2,5,4,1,4,2,1,2,5,1,1
452,18,1,"positive","a camp councelor","a friend",5,4,6,2,6,6,5,3,6,6,7,6,6,4,4,5,7,6,2,5,5,3,4,2,5,3,2,4,5
453,19,1,"intense","teammate","student",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,3,3,4,4,2,4,4
454,19,1,"positive","daughter","student",6,7,5,3,1,1,4,4,5,5,6,6,6,5,4,7,6,6,1,4,4,2,4,2,4,4,2,4,4
455,19,2,"observasnt","a member of my family","my own man",7,7,7,7,7,6,7,4,7,7,7,7,7,7,6,5,4,7,1,4,5,2,5,2,1,2,1,2,3
456,18,1,"friendly","a daughter","a student",7,7,5,6,5,7,6,7,5,7,7,7,7,7,7,7,7,7,2,4,3,3,5,2,2,2,4,1,4
457,18,1,"caring","daughter","friend",5,4,6,4,3,3,7,7,7,4,5,5,4,6,3,6,4,6,2,5,4,2,4,1,4,2,4,2,3
458,19,1,"empathetic","a friend","a social scientist",3,2,6,1,3,3,6,1,7,6,7,5,5,7,6,6,7,4,1,5,5,3,5,1,4,2,5,4,4
459,18,1,"blunt","a friend","girlfriend",5,4,4,4,6,5,5,4,4,6,4,4,4,6,6,4,4,4,2,2,3,5,4,4,1,1,4,1,3
460,20,1,"motivated","a field hockey player","a daughter",5,4,6,6,2,2,6,6,6,4,4,4,4,3,4,4,4,4,1,4,4,2,5,4,4,2,3,4,4
461,18,1,"trustworthy","being a good friend","a part of a team (volleyball, basketball, etc.)",6,6,6,5,3,5,6,5,7,7,7,7,7,6,7,7,6,6,1,5,5,3,5,2,4,4,4,4,3
462,20,1,"kindness","friend","a Catholic",7,6,7,5,6,5,7,6,7,7,6,6,6,6,3,6,7,6,4,5,3,3,4,4,4,5,5,5,4
463,19,2,"independent","daughter","student",2,2,5,5,2,2,2,3,4,5,6,6,6,6,6,6,5,5,2,4,2,2,4,5,2,2,5,2,3
464,18,2,"thoughtful","son","brother",5,2,7,1,1,1,2,2,4,1,1,7,1,1,1,1,1,4,3,3,4,2,4,2,2,2,4,2,3
465,19,2,"driven","a student","a professional",6,6,7,7,5,5,6,5,7,7,6,5,6,6,6,5,6,6,2,4,4,4,5,1,1,1,5,4,5
466,19,2,"thoughtful","a student","a friend",6,7,6,6,6,6,6,7,3,4,6,5,5,5,5,5,5,4,1,4,5,3,5,2,1,1,5,1,4
