"Pnum","Age","Gender","Mot_Explore","Mot_Knowlege","Mot_Learn","Mot_Independent","Mot_Understand","Mot_GiveBack","Mot_Financial","Mot_Help","Mot_Honor","Mot_Rolemodel","rfqpro1r","rfqpro2","rfqpro3","rfqpro4r","rfqpro5","rfqpro6r","rfqpre1r","rfqpre2r","rfqpre3","rfqpre4r","rfqpre5r","RFApro2","RFApro3","RFApro4","RFApro5","RFApre1","RFApre2","RFApre3","RFApre5","RFHpro2","RFHpro3","RFHpro4","RFHpro5","RFHpre1","RFHpre2","RFHpre3","RFHpre5","RFRpro2","RFRpro3","RFRpro4","RFRpro5","RFRpre1","RFRpre2","RFRpre3","RFRpre5","questionnaire1","questionnaire2"
103,19,1,6,7,6,7,7,7,5,6,3,4,2,4,4,2,4,1,2,2,3,2,2,6,4,5,3,6,5,5,2,6,5,6,4,2,4,5,6,4,2,4,3,2,2,3,5,1,1
104,18,1,6,5,5,5,4,4,7,6,5,5,2,5,5,2,5,1,3,4,3,2,4,6,3,6,6,6,4,5,6,4,NA,6,5,1,3,6,3,5,4,6,6,5,2,6,7,1,1
105,19,1,4,6,6,6,7,6,7,3,7,5,2,4,4,4,4,2,2,1,5,1,4,6,7,7,7,7,7,7,7,7,7,6,7,7,6,7,5,6,5,3,6,5,3,NA,6,1,1
106,19,2,7,7,7,5,6,7,6,3,5,6,2,4,4,2,4,2,2,2,4,2,3,5,6,4,4,5,3,5,4,5,5,4,5,5,5,5,5,7,7,5,6,5,3,7,6,1,1
107,18,2,5,6,7,7,6,7,7,6,7,7,2,5,4,3,5,1,4,3,2,3,3,6,6,5,5,6,5,6,5,4,4,5,4,5,4,4,4,5,6,7,6,4,2,7,5,1,1
108,18,2,7,6,7,7,7,5,7,4,6,2,1,5,5,1,5,5,1,1,5,1,1,6,7,7,7,7,7,7,5,7,7,7,7,2,5,7,7,7,7,7,7,1,5,7,7,1,1
109,19,2,7,7,7,7,7,7,7,7,7,7,1,5,5,4,5,1,1,2,5,2,4,4,6,7,7,7,7,7,6,6,6,5,5,6,6,5,5,7,6,6,6,7,6,6,6,1,1
110,19,1,6,7,7,7,7,6,7,3,7,4,1,5,5,2,5,3,4,4,4,5,5,5,6,7,7,5,5,6,7,3,3,4,5,7,4,3,3,5,6,7,7,5,7,7,6,1,1
111,19,1,6,5,6,5,5,3,6,3,4,5,3,3,5,4,4,4,2,2,4,3,5,4,5,4,4,3,5,4,4,2,4,4,4,2,4,4,4,6,5,5,4,5,7,4,4,1,1
112,20,2,4,5,4,5,6,5,7,7,7,5,2,3,3,4,4,2,2,2,4,2,3,5,6,5,7,5,6,6,6,4,3,4,4,5,4,3,4,5,5,4,6,6,5,5,5,1,1
